Invoice Date,Beneficiary Name,Due Date,Grand Total,Service Code,Client Number,Invoice #,Confirmation Number,Line Item Number,Cost Description,GL Description #1,GL Description #2,Gl Account #,Sub Account #,Bank,Status,Terms Code,Date of Order,Transaction Type,Detail Type,Currency,Currencydate,Office,Tax Code
12/22/2023,03917-001,12/22/2023,214.37,SPRP,04151-059588,B6785.31-A,https://api.docparser.com/v1/document/media/LEnCjVp2F46whWhAXYNCSg-B0dJYWLsAHwPuaCKm9gVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,04151-059588,A8078.46-A,https://api.docparser.com/v1/document/media/ajNzm11ai6wDs3vIkbieyIMHUiL1j3ctaJa2lGbbYgVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/21/2023,03917-001,12/21/2023,117.76,SPRP,04151-059588,B6785.32-A,https://api.docparser.com/v1/document/media/zKmhUITktTnl46TOIivT6KrwLYGGC1Mw2H-nkEDSSuVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,04151-059588,B6840.15-A,https://api.docparser.com/v1/document/media/vKXr3BEZ6m5Hw6Gr1mryC252vFPHDF-Yj1al6jbSqt1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/5/2023,03917-001,12/5/2023,158.4,SPRP,04151-059588,A5792.08-A,https://api.docparser.com/v1/document/media/MEdXpYnyS_GigFfVt5Se_JCz9uKbmVeA5aj3PJxEbLpkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/5/2023,LA,
12/21/2023,03917-001,12/21/2023,109.9,SPRP,04151-059588,A8845.49-A,https://api.docparser.com/v1/document/media/MymnT07kR2FnPZXSRgQZHjfGzicQMBFRFpJOkmNDbp1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/1/2023,03917-001,12/1/2023,103.82,SPRP,04151-059588,A9525.43-A,https://api.docparser.com/v1/document/media/iOHSdsC9VUUCSx9EQz1jEIhar0fg1HaMkyhbJW2W8_5kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/14/2023,03917-001,12/14/2023,219.84,SPRP,04151-059588,A7519.56-A,https://api.docparser.com/v1/document/media/0uEEuXIji70srW1IZ8l37ILDZj4x1OJd3GKxTEDLhU9kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/5/2023,03917-001,12/5/2023,84.99,SPRP,04151-059588,B6840.18-A,https://api.docparser.com/v1/document/media/GSmnDR4IxnDzwzahzSA_9-7UsY_3yPOghyCzkIW7lUBkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,from Location: in,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/5/2023,LA,
12/15/2023,03917-001,12/15/2023,121.23,SPRP,04151-059588,B1261.31-A,https://api.docparser.com/v1/document/media/9zoeNb_YOjhSKav__fec48coVG_YWF2wnlU6brZHJfBkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
