Invoice Date,Beneficiary Name,Due Date,Grand Total,Service Code,Client Number,Invoice #,Confirmation Number,Line Item Number,Cost Description,GL Description #1,GL Description #2,Gl Account #,Sub Account #,Bank,Status,Terms Code,Date of Order,Transaction Type,Detail Type,Currency,Currencydate,Office,Tax Code
12/22/2023,03917-001,12/22/2023,87.25,SPRP,01999-059946,B6840.22-A,https://api.docparser.com/v1/document/media/tEMAcwnoNJIpQtLwL-_WbzX0qBcGChqkkUUgrL7ucd9kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,05388-057990,B7349.20-A,https://api.docparser.com/v1/document/media/Pe-Vizy99ZFwkenhws8moYTzHc3AZkpsQfeKiNHCeJJkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/22/2023,03917-001,12/22/2023,70,SPRP,01999-059946,B6840.23-A,https://api.docparser.com/v1/document/media/qHOQl_wAm57pOi03rpT6PJVINEfc_w2ZsC8ZZc9I3YVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,235.87,SPRP,01838-059702,B7132.14-A,https://api.docparser.com/v1/document/media/ZDLncOYXmP39-yeXXj2r5YRwNLl8PpEKpyeVex_uRRxkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
11/28/2023,03917-001,11/28/2023,170.67,SPRP,01838-059702,B7265.27-A,https://api.docparser.com/v1/document/media/wXPrQQg6TypeBWAaHaXJZNzt1ngmMwKpqdqeKzXwhZNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,from Location: in Radiology.,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,11/28/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,08138-070002,B7456.15-A,https://api.docparser.com/v1/document/media/kgZDEd4ktB8VnWnuB5TzbCxZGnYCPSmErMRVAf7C531kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,05388-057990,B7349.21-A,https://api.docparser.com/v1/document/media/OnCvGVQfruYCQbCjYO4byYVWvOOws0HYQDDh18SSwXlkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,05388-057990,B7349.22-A,https://api.docparser.com/v1/document/media/itvAwX-VBxnDTVFMXTmITaWyJFUMEcuHNLs29RF8SBtkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,08138-070002,B7456.25-A,https://api.docparser.com/v1/document/media/qNT4bTF6xdDquopWgIhxbbktWpwAK75lfDCNoROOVeNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,08138-070002,B7456.34-A,https://api.docparser.com/v1/document/media/G2aulo6o9XZLQKwDj8sMyS1iLVfsvHYRwhkC5-fuIp9kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,08138-070002,B7456.27-A,https://api.docparser.com/v1/document/media/RgeakQ8Bw6v50kFUf04E67QQkNfgxvofmfLROvU0u6NkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,40.52,SPRP,08138-070002,B7456.41-A,https://api.docparser.com/v1/document/media/S6HzBZgye-Ghc7-_uEbigcNfEUdFfWH4MyRAqYjjpKlkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,111.5,SPRP,08138-070002,B7456.33-A,https://api.docparser.com/v1/document/media/tKQ6w_L4chnNO70jrE1BESJaIQT-PG9ZlM0IxhnVA31kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,91.5,SPRP,08138-070002,B7456.29-A,https://api.docparser.com/v1/document/media/yHWn5Af8k3mwEVR_ddEJMjgKqqSjcjtNvto_9CSHRUtkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,40.52,SPRP,08138-070002,B7456.44-A,https://api.docparser.com/v1/document/media/O_V2xipXHRPG01tQDZ98LQPRyNblDQamAeySo5ThWqNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,171.21,SPRP,01999-059907,B7472.19-A,https://api.docparser.com/v1/document/media/60fgjz2Ayof6hDR-yyf-ijBQ3m3-zSXMO-df95GvKj9kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,08138-070002,B7456.45-A,https://api.docparser.com/v1/document/media/IoOjonovHVHsuYIwrjzq4sZaGu7xgp-Uljm6oIfg-T1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,40.52,SPRP,08138-070002,B7456.43-A,https://api.docparser.com/v1/document/media/UzFXBuRSlN0w2Y-7oct-I_TEqoI9SsL3rEmE4ZvGCLJkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,118.24,SPRP,01999-059907,B7472.20-A,https://api.docparser.com/v1/document/media/4eY8RJYQHp9wS1-dBTwSQzaqM7WDZek8IYbEQoXOBdxkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/14/2023,03917-001,12/14/2023,119.8,SPRP,02915-059836,B7633.05-A,https://api.docparser.com/v1/document/media/kTViSKsXZjvCgmGAJhIIckRqcv4i4BSkU6HqQCSMiQ1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/5/2023,03917-001,12/5/2023,173.67,SPRP,02915-059836,B7633.14-A,https://api.docparser.com/v1/document/media/3dKTATN9kVVnwRgU_y2uUKQbdSSqp6oHtC6ZrEPhXIdkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/5/2023,LA,
