Invoice Date,Beneficiary Name,Due Date,Grand Total,Service Code,Client Number,Invoice #,Confirmation Number,Line Item Number,Cost Description,GL Description #1,GL Description #2,Gl Account #,Sub Account #,Bank,Status,Terms Code,Date of Order,Transaction Type,Detail Type,Currency,Currencydate,Office,Tax Code
12/13/2023,01492-001,12/13/2023,190.00,SPRP,0164-01901,3881911,https://api.docparser.com/v1/document/media/NFGRgVX_OnuUSipQO6mM2FJobu0t0gZi9YvJnpGh521G4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,Records of Kristina Pfeifer from Extra Order Request  J in .,,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/13/2023,LA,
12/7/2023,01492-001,12/7/2023,128.04,SPRP,03587-059897,3878827,https://api.docparser.com/v1/document/media/z0kYIVAXRVwIjfABX9ucHSvAU5EV05vAPDq0nFow9k9G4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Salome Pablo Mendoza from Contra Costa County Fire Ems in 4005 Port Chicago Hwy Room 250
Concord, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/7/2023,LA,
12/6/2023,01492-001,12/6/2023,69.75,SPRP,0164-01901,3878216,https://api.docparser.com/v1/document/media/6ImbGpQUJG-kSEJmgdirdonilS-KsE0W1aoaSinT5QFG4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Shalom Caples from Grants Pass School District 7 725 N.e. Dean Dr in Grants Pass, Or.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/6/2023,LA,
12/12/2023,01492-001,12/12/2023,489.19,SPRP,08448-070026,3881235,https://api.docparser.com/v1/document/media/yYQmDzuHYcca2wkLrfmwhnf7LIrt1PmsiIINSTrWarhG4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Gami Yani from Burbank Imaging & Open Mri 333 E. Magnolia Blvd Ste 104 in Burbank, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/12/2023,LA,
12/6/2023,01492-001,12/6/2023,101.25,SPRP,08268-058595,3877941,https://api.docparser.com/v1/document/media/xDPMBcnhhbVCmZkIO4v2wv__MR6JCtEVO9a7Uf4PPz5G4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Pedro Gomez Corrales from Adventist Health Clearlake in P.o.box 51385
Los Angeles, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/6/2023,LA,
12/29/2023,01492-001,12/29/2023,69.00,SPRP,08448-070052,3889284,https://api.docparser.com/v1/document/media/gEc4kwsxl2gzJFRujFABZvXqfokNq7CIhdgERyMPW-pG4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Teresa Puskas from Kaiser/pmg Radiology-North V 1600 Eureka Rd. in Roseville, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/29/2023,LA,
12/11/2023,01492-001,12/11/2023,64.00,SPRP,029155-059831,3880417,https://api.docparser.com/v1/document/media/xQJkas8zUDRGw-LuB__sW_sdLvnpjjtUWl4-8OWfUm9G4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Matthew S. Botello from Wendy Vang in 6425 E. Dwight Way
Fresno, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/11/2023,LA,
12/5/2023,01492-001,12/5/2023,136.23,SPRP,08148-070009,3876822,https://api.docparser.com/v1/document/media/P9xg1zl1EJeoKbpIbC03aFoGrvwNy-umqsvXJ-jOKitG4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Tyree Demari Khounphinith from Natomas Urgent Care in 4321 Truxel Rd
Sacramento, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/5/2023,LA,
12/7/2023,01492-001,12/7/2023,245.65,SPRP,04967-059807,3878729,https://api.docparser.com/v1/document/media/nxKF_MBANaCnqOjAJqoOyt09ma01HwYOcsIw6ODLhQpG4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of William Lalane Hamilton from Pride Industries 10030 Foothills Blvd in Roseville, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/7/2023,LA,
12/21/2023,01492-001,12/21/2023,199.01,SPRP,002021-056652,3886590,https://api.docparser.com/v1/document/media/CrveT-wR5rJmtqiaPQF2Kmyk_AVOPWw9qESoQ7nAG9pG4d8YL9gr2bFTRljPDULWeKTXVdtJldZutsRm73eqBdtTI2M2w2I5Ftr2LbbThiw,,"Records of Raymond Vincente Digiacomo from Sunset Mental Health Service 1990 41st Ave. in San Francisco, Ca.",,,2000-0000-01,,,HOLDCLIENT,net 30,1/4/2024,in,,USD,12/21/2023,LA,
